Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Luxembourg's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Luxembourg (%)	
"Madagascar"	6248	4611	0		200	138	0.02	2	7339	0.08		
"Congo, Democratic Republic of the"	6049	5951	0		164	111	0.04	13	6479	0.14		
"Kuwait"	5743	5667	0		28	76	0.1	-3	5837	0.07		
"Mali"	4015	3999	0		14	141	0.02	9	5008	0.1		
"Oman"	3917	3817	0		-34	83	0.08	-6	5977	0.08		
"Congo"	3708	3699	0		389	154	0.01	-18	6851	0.07		
"Guinea"	3604	3552	0		-19	135	0.02	7	9140	0.19		
"Senegal"	3433	3045	0		-46	110	0.04	4	6632	0.05		
"Sierra Leone"	3373	2391	0		191	170	0	10	8820	0.13		
"Uganda"	3281	1911	0		7	132	0.02	11	5788	0.09		
"Zambia"	2966	2518	0	50	131	119	0.03	-9	5447	0.14		
"Guyana"	2965	2921	0		318	144	0.02	13	11175	0.21		
"Iraq"	2922	2918	0		-8	62	0.2	3	4107	0.18		
"Sudan"	2588	2549	0		152	122	0.03	-2		0.13		
"Cyprus"	2551	-519	0	-19	-30	105	0.05	-1	3118	0.09		
"Area Nes"	2518	-60060	0		27							
"Belarus"	2478	1211	0		-12	61	0.2	2	2268	0.23		
"Chad"	2471	2471	0		290	184	0	13	6931	0.16		
"Andorra"	2386	2206	0		27	166	0	2	610	0.52		
"Kenya"	2326	-27	0	-1	-18	80	0.09	2	6680	0.08		
"Ethiopia"	2256	2009	0		82	90	0.07	1	6305	0.11		
"Tanzania, United Republic of"	2255	1313	0		-36	102	0.05	7	6633	0.1		
"Cameroon"	2232	-7343	0	29	76	116	0.03	8	7279	0.14		
"Somalia"	2200	2198	0		279	150	0.01	9	5305	0.16		
"Bahrain"	2056	2042	0		-10	101	0.05	1	6359	0.08		
"Burkina Faso"	2039	1955	0		103	136	0.02	5	6109	0.05		
"Malta"	1967	762	0	7	3	120	0.03	1	3249	0.08		
"Albania"	1855	1141	0		243	121	0.03	6	1886	0.13		
"Nicaragua"	1775	1002	0		14692	104	0.05	4	5888	0.1		
"Myanmar"	1667	-1775	0		343	79	0.10	-1	2536	0.25		
"Togo"	1622	1543	0		-26	153	0.01	10	7318	0.08		
"Uzbekistan"	1609	1505	0		-57	74	0.1	16	3412	0.12		
"Uruguay"	1571	1048	0		-29	95	0.06	0	9836	0.11		
