Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Kenya's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Kenya (%)	
"Mexico"	4676	-26937	0.1	-30	-26	13	2.3	2	7039	0.24		
"Senegal"	4525	4431	0.1	36	70	110	0.04	4	6632	0.05		
"Uzbekistan"	4502	4496	0.1	17	-19	74	0.1	16	3412	0.12		
"Greece"	4119	-2076	0.1	-5	6	45	0.3	4	2847	0.05		
"Sri Lanka"	3636	-37139	0.1	3	32	85	0.08	-3	4351	0.16		
"Bangladesh"	3485	-17343	0.1	1	-11	49	0.3	6	4172	0.15		
"Iraq"	3415	-580	0.1	17	70	62	0.2	3	4107	0.18		
"Madagascar"	2872	-10347	0	-7	41	138	0.02	2	7339	0.08		
"New Zealand"	2817	-900	0	0	30	56	0.2	3	11141	0.09		
"Sierra Leone"	2621	2526	0	48	-20	170	0	10	8820	0.13		
"Cyprus"	2509	-43159	0	-2	13	105	0.05	-1	3118	0.09		
"Cameroon"	2405	1760	0	18	346	116	0.03	8	7279	0.14		
"Kyrgyzstan"	2207	2205	0	36	53	127	0.03	1	2892	0.2		
"Libya, State of"	2041	2041	0	43	287	89	0.07	12	3475	0.08		
"Mali"	2040	1853	0	65	23	141	0.02	9	5008	0.1		
"Burkina Faso"	2000	1981	0	68	16	136	0.02	5	6109	0.05		
"Botswana"	1607	1501	0	16	-26	124	0.03	2	2968	0.52		
"Eritrea"	1560	1560	0	-8	126	203	0	-8	6303	0.14		
"Chad"	1509	1506	0	30	-22	184	0	13	6931	0.16		
"Georgia"	1435	1316	0	-1	186	113	0.04	-2	2513	0.09		
"Eswatini"	1434	-111357	0	6	155	160	0	1	1597	0.74		
"Panama"	1424	1332	0	-14	486	60	0.2	1	8657	0.12		
"Colombia"	1367	634	0	2	128	51	0.3	4	8915	0.13		
"Guyana"	1318	1318	0	59		144	0.02	13	11175	0.21		
"Central African Republic"	1298	1296	0	45	-49	199	0	7	6606	0.08		
"Benin"	1153	1133	0	22	183	149	0.01	-2	6481	0.07		
"Tonga"	1077	1077	0		1943	202	0	4	5771	0.16		
"Belarus"	1069	-344	0	144	162	61	0.2	2	2268	0.23		
"Comoros"	1007	1007	0	-36	-26	192	0	18	5731	0.22		
"Togo"	997	976	0	14	7	153	0.01	10	7318	0.08		
"Angola"	968	933	0	25	-34	100	0.05	-11	7692	0.06		
"Namibia"	924	-3522	0	52	-53	126	0.03	-1	3757	0.37		
"Lesotho"	922	648	0	-25	936	164	0	-2	1590	0.78		
"Mauritania"	868	843	0	25	-8	146	0.02	1	5817	0.07		
"Peru"	847	-389	0	54	78	54	0.2	3	10420	0.13		
"Serbia"	841	-1220	0	-12	2077	65	0.2	9	2497	0.06		
"Latvia"	796	-4843	0	-35	-27	77	0.1	7	1575	0.08		
"Lebanon"	732	-6751	0	-17	38	97	0.06	-12	3592	0.06		
"Slovakia"	678	-12188	0	69	105	38	0.5	4	2664	0.07		
"Algeria"	636	536	0	15	87	64	0.2	-8	4584	0.07		
"Niger"	597	545	0	40	-35	162	0	13	5715	0.09		
"Venezuela, Bolivarian Republic of"	596	594	0		484	117	0.03	-11	8121	0.16		
"Luxembourg"	566	-2452	0	76	-13	71	0.1	3	1488	0.14		
"Guinea"	549	524	0	24	2	135	0.02	7	9140	0.19		
"Gambia"	538	537	0	124	450	167	0	7	8260	0.14		
"Syrian Arab Republic"	488	455	0	-27	-23	139	0.02	-3	2496	0.27		
"Hungary"	483	-11071	0	-24	-38	33	0.6	6	2180	0.09		
"Czech Republic"	478	-29834	0	-11	-38	28	1	4	2987	0.1		
"Brazil"	471	-65440	0	-38	110	26	1	6	10879	0.09		
"Ecuador"	470	175	0	31	69	69	0.1	3	9174	0.12		
"Nepal"	466	451	0	144	-26	96	0.06	8	1856	0.56		
"Maldives"	463	463	0	54	91	151	0.01	-3	4478	0.08		
"Lithuania"	454	-32441	0	17	-83	59	0.2	7	1630	0.07		
"Azerbaijan"	434	425	0	-6	-18	98	0.05	5	3712	0.09		
"Bulgaria"	374	-3481	0	-44	81	57	0.2	6	2237	0.05		
"Malta"	354	-703	0	13	78	120	0.03	1	3249	0.08		
"Gabon"	344	301	0	-6	47	158	0.01	-2	7114	0.11		
"Albania"	323	311	0	52	87	121	0.03	6	1886	0.13		
"Croatia"	292	-412	0	-35	67	63	0.2	6	1362	0.07		
"Trinidad and Tobago"	272	221	0	270	6240	128	0.03	-1	6663	0.26		
"Papua New Guinea"	207	207	0	210	829	143	0.02	-1	4973	0.17		
"Myanmar"	207	-130	0	7	-88	79	0.10	-1	2536	0.25		
"Cambodia"	203	-143	0		656	66	0.1	16	2651	0.18		
"Haiti"	200	199	0	84	-62	140	0.02	0	6340	0.18		
"Austria"	192	-21342	0	-27	-85	27	1	3	1514	0.18		
"Liberia"	158	150	0	-16	89	87	0.07	17	11608	0.19		
"Dominica"	146	146	0			185	0	8	4908	0.65		
"Guinea-Bissau"	111	108	0	-40		195	0	2	5802	0.16		
"Estonia"	109	-1249	0	33	2957	73	0.1	6	2314	0.06		
"Turkmenistan"	97	-657	0	141		148	0.02	4	3495	0.15		
"Iceland"	91	-204	0	5	1	112	0.04	-1	4251	0.05		
"Equatorial Guinea"	57	57	0		570	182	0	2	6008	0.11		
"Slovenia"	54	-4149	0	-17	-51	55	0.2	10	2404	0.07		
"Tajikistan"	49	13	0	233	2	142	0.02	9	2803	0.17		
"Moldova, Republic of"	46	-5110	0	32	97	118	0.03	8	2317	0.08		
"Armenia"	25	-31	0	35	-42	131	0.02	6	3323	0.15		
"Dominican Republic"	22	-310	0			67	0.1	5	6446	0.22		
"Marshall Islands"	21	21	0		108	91	0.06	-1	7455	0.18		
"Costa Rica"	21	-546	0	47	845	86	0.08	3	6987	0.22		
"Honduras"	18	-89	0	-21	-80	99	0.05	4	6104	0.16		
"Brunei Darussalam"	17	17	0	-42	-82	109	0.04	26	5185	0.11		
"French Polynesia"	12	12	0			165	0	1	13300	0.24		
"Antigua and Barbuda"	10	7	0	21	747	174	0	1	6334	0.27		
"Argentina"	8	-136444	0	9	-67	50	0.3	-5	10631	0.1		
"Macao, China"	6	6	0	-53		81	0.09	15		0.17		
"Bermuda"	6	0	0	-65		169	0	-3	8006	0.28		
"Guatemala"	5	-439	0	-31	-66	68	0.1	7	5828	0.15		
"Tokelau"	4	2	0			226	0	-33	11566	0.22		
"El Salvador"	3	-31	0	-21	-70	88	0.07	9	4914	0.15		
"Jamaica"	3	-106	0	-17	1	137	0.02	-2	6759	0.22		
"United States Minor Outlying Islands"	3	-9172	0	-87	-98	177	0	0		0.21		
"New Caledonia"	2	-2	0			155	0.01	-1	11471	0.2		
"Bosnia and Herzegovina"	2	-234	0	-10	-96	94	0.06	3	2228	0.07		
"Uruguay"	2	-425	0	33	-29	95	0.06	0	9836	0.11		
"Saint Lucia"	1	1	0			171	0	-10	5321	0.23		
"Micronesia, Federated States of"	1	1	0	-53		208	0	-8	7109	0.19		
"Paraguay"	1	-6	0			92	0.06	0	7311	0.15		
"Gibraltar"	1	-118	0			114	0.03	-5	2572	0.09		
"Bahamas"	1	-1146	0	-73		115	0.03	-8	6248	0.19		
"Bolivia, Plurinational State of"		-1				106	0.04	-3	7978	0.11		
"Cayman Islands"		-1				123	0.03	5	7522	0.35		
"Mongolia"		-1				125	0.03	8	3267	0.22		
"Belize"		-1				179	0	1	5006	0.18		
"Turks and Caicos Islands"		-2				193	0	-3	3491	0.74		
"Tuvalu"		-2				204	0	17	6386	0.21		
"Cabo Verde"		-4				181	0	4	5196	0.21		
"Nauru"		-6				211	0	18	6014	0.27		
"Cuba"		-10				145	0.02	-13	7148	0.09		
"Barbados"		-21				161	0	0	4992	0.21		
"Lao People's Democratic Republic"		-31				129	0.02	-1	2572	0.28		
"Korea, Democratic People's Republic of"		-57				200	0	-49	1470	0.87		
"Nicaragua"		-396				104	0.05	4	5888	0.1		
"Faroe Islands"		-443				172	0	7	1404	0.27		
"Macedonia, North"						103	0.05	8	1348	0.09		
"Montenegro"						152	0.01	0	2382	0.08		
"British Virgin Islands"						156	0.01	8	7242	0.27		
"Fiji"						157	0.01	-7	7384	0.12		
"Curaçao"						163	0	-12		0.24		
"Andorra"						166	0	2	610	0.52		
"Suriname"						173	0	1	9050	0.14		
"Aruba"						175	0	-3	4917	0.3		
"Palestine, State of"						176	0	8	3026	0.1		
"Bhutan"						178	0	15	1733	0.63		
"Greenland"						180	0	6	3482	0.44		
"Timor-Leste"						183	0	12	3988	0.22		
"Free Zones"						186	0	-34		0.92		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Solomon Islands"						190	0	0	6301	0.17		
"Grenada"						191	0	-1	4157	0.2		
"Saint Vincent and the Grenadines"						196	0	3	6798	0.14		
"Samoa"						197	0	-1	6816	0.13		
"Vanuatu"						198	0	-2	6248	0.13		
"Saint Kitts and Nevis"						201	0	-12	5440	0.41		
"Kiribati"						205	0	10	5936	0.13		
"Cook Islands"						206	0	-4	9417	0.22		
"Falkland Islands (Malvinas)"						207	0	2	12325	0.46		
"Palau"						209	0	1	6232	0.16		
"Sao Tome and Principe"						210	0	-3	6155	0.31		
"Anguilla"						212	0	-5	4397	0.58		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"French Southern and Antarctic Territories"						214	0	14		0.12		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Saint Helena"						217	0	6	7699	0.31		
"Wallis and Futuna Islands"						218	0	7	10103	0.24		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Niue"						223	0	7	11410	0.48		
"Montserrat"						224	0	-7		0.49		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
