Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Ecuador's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Ecuador (%)	
"Aruba"	10426	10426	0	102	2448	175	0	-3	4917	0.3		
"Nigeria"	10339	9360	0	81	836	53	0.2	17	7792	0.1		
"Ghana"	10322	10277	0	129	1055	82	0.08	8	8888	0.18		
"Malta"	9908	8640	0	39	88	120	0.03	1	3249	0.08		
"Jordan"	9682	8428	0	31	0	84	0.08	0	5167	0.07		
"Trinidad and Tobago"	9640	305	0	32	-11	128	0.03	-1	6663	0.26		
"Paraguay"	8618	-15892	0	8	57	92	0.06	0	7311	0.15		
"Romania"	8473	-12246	0	3	10	37	0.5	6	1891	0.07		
"Israel"	7992	-26493	0	-9	19	42	0.4	4	5483	0.07		
"Ireland"	7716	-16106	0	16	115	36	0.5	4	3265	0.1		
"Egypt"	7535	-7765	0	31	18	46	0.3	-1	5219	0.05		
"Cuba"	7386	6919	0	-20	-13	145	0.02	-13	7148	0.09		
"Kyrgyzstan"	5375	5375	0	155	178	127	0.03	1	2892	0.2		
"Azerbaijan"	3222	3220	0	-24	1	98	0.05	5	3712	0.09		
"Cyprus"	3187	2943	0	-2	64	105	0.05	-1	3118	0.09		
"Oman"	3165	139	0	31	49	83	0.08	-6	5977	0.08		
"Cameroon"	2346	2342	0	57	15591	116	0.03	8	7279	0.14		
"Bahamas"	1963	1247	0	14	-95	115	0.03	-8	6248	0.19		
"Latvia"	1934	-17171	0	-34	88	77	0.1	7	1575	0.08		
"Bahrain"	1875	-9267	0	20	-36	101	0.05	1	6359	0.08		
"Armenia"	1738	1738	0	109	-24	131	0.02	6	3323	0.15		
"Moldova, Republic of"	1637	1520	0	17	36	118	0.03	8	2317	0.08		
"Uzbekistan"	1632	971	0	-10	-34	74	0.1	16	3412	0.12		
"United States Minor Outlying Islands"	1554	1456	0	135	-81	177	0	0		0.21		
"Hungary"	1488	-23189	0	13	-12	33	0.6	6	2180	0.09		
"Tajikistan"	1275	1275	0	16	79	142	0.02	9	2803	0.17		
"Congo"	1225	1219	0	53	21000	154	0.01	-18	6851	0.07		
"Cabo Verde"	1133	1133	0	56	2761	181	0	4	5196	0.21		
"Haiti"	1128	1069	0	-16	5	140	0.02	0	6340	0.18		
"Slovakia"	1090	-24446	0	-9	-71	38	0.5	4	2664	0.07		
"Barbados"	1018	893	0	11	2	161	0	0	4992	0.21		
"Bangladesh"	982	-17490	0	-15	448	49	0.3	6	4172	0.15		
"Curaçao"	904	407	0	-5	-42	163	0	-12		0.24		
"Togo"	899	899	0	109	-8	153	0.01	10	7318	0.08		
"Lebanon"	681	548	0	-31	-7	97	0.06	-12	3592	0.06		
"Benin"	680	680	0	313	510	149	0.01	-2	6481	0.07		
"Maldives"	636	128	0	52	96	151	0.01	-3	4478	0.08		
"Bosnia and Herzegovina"	541	216	0		145	94	0.06	3	2228	0.07		
"Austria"	511	-53823	0	15	-4	27	1	3	1514	0.18		
"Pakistan"	501	-11094	0	-37	-36	47	0.3	2	4850	0.11		
"Iceland"	451	263	0	-17	-6	112	0.04	-1	4251	0.05		
"Papua New Guinea"	385	103	0	-38		143	0.02	-1	4973	0.17		
"Madagascar"	325	281	0	-26	1759	138	0.02	2	7339	0.08		
"Serbia"	314	-1511	0	26	-33	65	0.2	9	2497	0.06		
"Angola"	287	285	0	1	85	100	0.05	-11	7692	0.06		
"Macedonia, North"	276	255	0	5	28	103	0.05	8	1348	0.09		
"Belize"	244	-267	0	1	109	179	0	1	5006	0.18		
"Kenya"	217	-1002	0	19	-89	80	0.09	2	6680	0.08		
"Guyana"	185	-1097	0	27	-83	144	0.02	13	11175	0.21		
"Equatorial Guinea"	145	121	0	35	-17	182	0	2	6008	0.11		
"Sierra Leone"	130	104	0	33		170	0	10	8820	0.13		
"Saint Vincent and the Grenadines"	129	126	0	9	15	196	0	3	6798	0.14		
"Saint Kitts and Nevis"	113	104	0	49	50	201	0	-12	5440	0.41		
"Saint Lucia"	107	107	0	-20	43	171	0	-10	5321	0.23		
"Suriname"	101	86	0	-7	-65	173	0	1	9050	0.14		
"Namibia"	87	81	0	-50		126	0.03	-1	3757	0.37		
"Antigua and Barbuda"	78	78	0	-8	183	174	0	1	6334	0.27		
"Cambodia"	59	-9799	0	45	-76	66	0.1	16	2651	0.18		
"Dominica"	49	41	0	-29	3	185	0	8	4908	0.65		
"Yemen"	46	46	0	14	26	107	0.04	11	5706	0.11		
"Tanzania, United Republic of"	40	40	0	-26	-4	102	0.05	7	6633	0.1		
"Ethiopia"	23	0	0	-36	-9	90	0.07	1	6305	0.11		
"Comoros"	22	22	0		-91	192	0	18	5731	0.22		
"Turkmenistan"	18	18	0	-39	-90	148	0.02	4	3495	0.15		
"Senegal"	18	-580	0	-6	-75	110	0.04	4	6632	0.05		
"Luxembourg"	18	-3428	0	-26	90	71	0.1	3	1488	0.14		
"Grenada"	16	16	0	-43	288	191	0	-1	4157	0.2		
"Liberia"	14	-25	0		-79	87	0.07	17	11608	0.19		
"Bonaire, Sint Eustatius and Saba"	12	12	0		-47	189	0	20		0.19		
"Cayman Islands"	11	10	0	-43	-60	123	0.03	5	7522	0.35		
"French Polynesia"	10	10	0	-13	-9	165	0	1	13300	0.24		
"Gabon"	9	6	0	-40	10	158	0.01	-2	7114	0.11		
"Iran, Islamic Republic of"	7	-515	0	-93	0	72	0.1	-18	5612	0.13		
"Oceania Nes"	5	-231	0									
"Sao Tome and Principe"	4	-1	0			210	0	-3	6155	0.31		
"British Virgin Islands"	3	3	0	-20		156	0.01	8	7242	0.27		
"Burkina Faso"	2	-6	0			136	0.02	5	6109	0.05		
"New Caledonia"		-1				155	0.01	-1	11471	0.2		
"Fiji"		-2				157	0.01	-7	7384	0.12		
"Lesotho"		-2				164	0	-2	1590	0.78		
"Eritrea"		-2				203	0	-8	6303	0.14		
"Palau"		-2				209	0	1	6232	0.16		
"Mali"		-3				141	0.02	9	5008	0.1		
"Chad"		-3				184	0	13	6931	0.16		
"Uganda"		-4				132	0.02	11	5788	0.09		
"Bhutan"		-4				178	0	15	1733	0.63		
"Niger"		-5				162	0	13	5715	0.09		
"Botswana"		-6				124	0.03	2	2968	0.52		
"Niue"		-7				223	0	7	11410	0.48		
"Burundi"		-8				188	0	13	4755	0.14		
"Saint Helena"		-9				217	0	6	7699	0.31		
"Mozambique"		-10				108	0.04	8	6196	0.1		
"Montserrat"		-10				224	0	-7		0.49		
"Gambia"		-11				167	0	7	8260	0.14		
"Mongolia"		-12				125	0.03	8	3267	0.22		
"Afghanistan"		-13				147	0.02	-8	2990	0.12		
"Palestine, State of"		-13				176	0	8	3026	0.1		
"Area Nes"		-14										
"Nepal"		-15				96	0.06	8	1856	0.56		
"Bermuda"		-15				169	0	-3	8006	0.28		
"Cocos (Keeling) Islands"		-15				225	0	8		0.74		
"British Indian Ocean Territory"		-20				219	0	-9		0.67		
"Gibraltar"		-29				114	0.03	-5	2572	0.09		
"Sudan"		-32				122	0.03	-2		0.13		
"Korea, Democratic People's Republic of"		-32				200	0	-49	1470	0.87		
"Somalia"		-33				150	0.01	9	5305	0.16		
"Tokelau"		-37				226	0	-33	11566	0.22		
"Northern Mariana Islands"		-81				216	0	-19	3811	0.2		
"Mauritania"		-122				146	0.02	1	5817	0.07		
"Tonga"		-174				202	0	4	5771	0.16		
"Eswatini"		-213				160	0	1	1597	0.74		
"Vanuatu"		-315				198	0	-2	6248	0.13		
"Tuvalu"		-316				204	0	17	6386	0.21		
"Lao People's Democratic Republic"		-335				129	0.02	-1	2572	0.28		
