Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Cyprus's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Cyprus (%)	
"Armenia"	864	838	0	5	-53	131	0.02	6	3323	0.15		
"Moldova, Republic of"	850	-16383	0	-31	27	118	0.03	8	2317	0.08		
"Seychelles"	794	318	0	-6	31	187	0	-7	6627	0.06		
"Guinea"	749	668	0	3	-3	135	0.02	7	9140	0.19		
"Angola"	687	686	0	48	238	100	0.05	-11	7692	0.06		
"Kazakhstan"	686	-5842	0	-7	-89	58	0.2	6	3017	0.25		
"Papua New Guinea"	683	683	0	28	18	143	0.02	-1	4973	0.17		
"Barbados"	665	665	0	18	-33	161	0	0	4992	0.21		
"Zambia"	575	570	0	37	-28	119	0.03	-9	5447	0.14		
"Trinidad and Tobago"	572	524	0	14	-35	128	0.03	-1	6663	0.26		
"Venezuela, Bolivarian Republic of"	550	496	0	20	2192	117	0.03	-11	8121	0.16		
"Afghanistan"	538	537	0	38	-51	147	0.02	-8	2990	0.12		
"Cameroon"	472	10	0	14	126	116	0.03	8	7279	0.14		
"Colombia"	413	274	0	-1	-60	51	0.3	4	8915	0.13		
"Benin"	389	363	0	8	98	149	0.01	-2	6481	0.07		
"Uzbekistan"	374	373	0	29	26	74	0.1	16	3412	0.12		
"Curaçao"	341	332	0	-21	14	163	0	-12		0.24		
"Gambia"	332	332	0	16	132	167	0	7	8260	0.14		
"Mozambique"	327	316	0	-11	-38	108	0.04	8	6196	0.1		
"Bosnia and Herzegovina"	327	-950	0	-27	-37	94	0.06	3	2228	0.07		
