Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in China's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by China (%)	
"Guatemala"	3551822	3128081	0.1	13	44	68	0.1	7	5828	0.15		
"Qatar"	3462733	-7845492	0.1	16	32	70	0.1	0	5745	0.06		
"Finland"	3374980	-1525608	0.1	3	14	44	0.4	3	2842	0.07		
"Oman"	3273589	-22432279	0.1	8	6	83	0.08	-6	5977	0.08		
"Senegal"	3071315	2635514	0.1	10	20	110	0.04	4	6632	0.05		
"Marshall Islands"	3001518	2998773	0.1	4	-8	91	0.06	-1	7455	0.18		
"Côte d'Ivoire"	2833643	2373615	0.1	13	21	93	0.06	9	6793	0.08		
"Macao, China"	2826389	2752673	0.1	-6	27	81	0.09	15		0.17		
"Togo"	2691236	2166960	0.1	10	9	153	0.01	10	7318	0.08		
"Mozambique"	2643578	1593435	0.1	16	32	108	0.04	8	6196	0.1		
"Uruguay"	2614288	-550021	0.1	2	53	95	0.06	0	9836	0.11		
"Cameroon"	2487624	1305012	0.1	14	23	116	0.03	8	7279	0.14		
"Belarus"	2443654	1437329	0.1	29	16	61	0.2	2	2268	0.23		
"Congo, Democratic Republic of the"	2437594	-7782836	0.1	22	21	111	0.04	13	6479	0.14		
"Djibouti"	2375962	2327374	0.1	4	3	130	0.02	5	6387	0.22		
"Yemen"	2316362	1918545	0.1	12	-20	107	0.04	11	5706	0.11		
"Angola"	2302237	-15959001	0.1	-2	32	100	0.05	-11	7692	0.06		
"Mongolia"	2098052	-4481885	0.1	11	30	125	0.03	8	3267	0.22		
"Ethiopia"	2085684	1743220	0.1	-6	-7	90	0.07	1	6305	0.11		
"Malta"	2041906	1544093	0.1	-1	50	120	0.03	1	3249	0.08		
"Bulgaria"	2038596	385216	0.1	13	32	57	0.2	6	2237	0.05		
"Costa Rica"	2033785	1306516	0.1	5	32	86	0.08	3	6987	0.22		
"Serbia"	1992141	1082663	0.1	40	23	65	0.2	9	2497	0.06		
"Guinea"	1990973	-599025	0.1	14	4	135	0.02	7	9140	0.19		
"Lithuania"	1979130	1549360	0.1	5	9	59	0.2	7	1630	0.07		
"Venezuela, Bolivarian Republic of"	1945793	1035777	0.1	5	28	117	0.03	-11	8121	0.16		
"Libya, State of"	1918662	-969736	0.1	16	2	89	0.07	12	3475	0.08		
"Croatia"	1778058	1451621	0.1	11	13	63	0.2	6	1362	0.07		
"Sudan"	1752483	979220	0.1	-2	-30	122	0.03	-2		0.13		
"Nepal"	1738210	1714663	0.1	13	49	96	0.06	8	1856	0.56		
"Tunisia"	1670664	1410992	0.1	5	17	78	0.10	-1	3411	0.06		
"Paraguay"	1628246	1583698	0.1	-2	34	92	0.06	0	7311	0.15		
"Lao People's Democratic Republic"	1530723	-917724	0.1	2	2	129	0.02	-1	2572	0.28		
"Honduras"	1418402	1387134	0	10	54	99	0.05	4	6104	0.16		
"Luxembourg"	1395661	1015027	0	16	47	71	0.1	3	1488	0.14		
"Tajikistan"	1387952	1236473	0	-2	36	142	0.02	9	2803	0.17		
"El Salvador"	1363047	1158769	0	12	45	88	0.07	9	4914	0.15		
"Lebanon"	1348982	1308621	0	-14	43	97	0.06	-12	3592	0.06		
"Bahrain"	1206905	917515	0	6	8	101	0.05	1	6359	0.08		
"Madagascar"	1150387	863636	0	2	15	138	0.02	2	7339	0.08		
"Benin"	1116859	898243	0	-17	13	149	0.01	-2	6481	0.07		
"Latvia"	1017628	807575	0	-3	-3	77	0.1	7	1575	0.08		
"Papua New Guinea"	948640	-1764111	0	6	3	143	0.02	-1	4973	0.17		
"Georgia"	938048	774012	0	2	-26	113	0.04	-2	2513	0.09		
"Uganda"	923941	884747	0	5	17	132	0.02	11	5788	0.09		
"Estonia"	898660	641899	0	-4	4	73	0.1	6	2314	0.06		
"Somalia"	890486	880703	0	17	0	150	0.01	9	5305	0.16		
"Azerbaijan"	890262	688600	0	20	44	98	0.05	5	3712	0.09		
"Bolivia, Plurinational State of"	876660	284540	0	2	27	106	0.04	-3	7978	0.11		
"Mauritania"	841082	-881838	0	-4	14	146	0.02	1	5817	0.07		
"Zimbabwe"	830296	-62186	0	15	58	134	0.02	7	3754	0.39		
"Mauritius"	787574	755845	0	-1	13	133	0.02	-2	7320	0.08		
"Jamaica"	725068	719233	0	8	15	137	0.02	-2	6759	0.22		
"Haiti"	714882	710737	0	7	1	140	0.02	0	6340	0.18		
"Nicaragua"	714742	691309	0	3	47	104	0.05	4	5888	0.1		
"Zambia"	714445	-3225331	0	-3	5	119	0.03	-9	5447	0.14		
"Cyprus"	655731	630752	0	7	-27	105	0.05	-1	3118	0.09		
"Congo"	627493	-3783245	0	8	4	154	0.01	-18	6851	0.07		
"Brunei Darussalam"	559643	-1463863	0	-14	20	109	0.04	26	5185	0.11		
"Albania"	552947	408344	0	5	-3	121	0.03	6	1886	0.13		
"Mali"	543666	435019	0	13	16	141	0.02	9	5008	0.1		
"Gambia"	499769	456748	0	7	-7	167	0	7	8260	0.14		
"Cuba"	492786	104353	0	-25	2	145	0.02	-13	7148	0.09		
"Turkmenistan"	459537	-5688793	0	8	3	148	0.02	4	3495	0.15		
"Sierra Leone"	443088	86587	0	17	19	170	0	10	8820	0.13		
"Syrian Arab Republic"	441271	440018	0	-20	-47	139	0.02	-3	2496	0.27		
"Afghanistan"	436712	396334	0	-7	-13	147	0.02	-8	2990	0.12		
"Bahamas"	429820	412601	0	3	54	115	0.03	-8	6248	0.19		
"Burkina Faso"	399655	231621	0	21	24	136	0.02	5	6109	0.05		
"Gabon"	388209	-1974326	0	-2	-7	158	0.01	-2	7114	0.11		
"Trinidad and Tobago"	383024	-88115	0	-2	12	128	0.03	-1	6663	0.26		
"Namibia"	363775	-300895	0	2	63	126	0.03	-1	3757	0.37		
"Fiji"	362088	308581	0	-4	12	157	0.01	-7	7384	0.12		
"Maldives"	357369	353015	0	0	30	151	0.01	-3	4478	0.08		
"Guyana"	354997	196856	0	15	34	144	0.02	13	11175	0.21		
"Niger"	346679	-16476	0	42	14	162	0	13	5715	0.09		
"Rwanda"	304126	278423	0	25	8	159	0.01	17	5437	0.08		
"Armenia"	294112	-701077	0	16	32	131	0.02	6	3323	0.15		
"Malawi"	265404	260033	0	0	21	168	0	0	5169	0.15		
"Chad"	261475	62767	0	24	-12	184	0	13	6931	0.16		
"Suriname"	241314	201949	0	6	9	173	0	1	9050	0.14		
"Timor-Leste"	238547	184169	0	17	25	183	0	12	3988	0.22		
"Botswana"	237122	74770	0	-1	1	124	0.03	2	2968	0.52		
"Korea, Democratic People's Republic of"	225122	182979	0	-50	-54	200	0	-49	1470	0.87		
"Barbados"	224103	209813	0	10	183	161	0	0	4992	0.21		
"Macedonia, North"	205285	-154321	0	26	31	103	0.05	8	1348	0.09		
"Iceland"	177956	38476	0	0	76	112	0.04	-1	4251	0.05		
"Moldova, Republic of"	164470	68606	0	14	13	118	0.03	8	2317	0.08		
"Belize"	161602	161568	0	14	53	179	0	1	5006	0.18		
"Solomon Islands"	154861	-141354	0	10	33	190	0	0	6301	0.17		
"New Caledonia"	140812	-823662	0	10	15	155	0.01	-1	11471	0.2		
"Bosnia and Herzegovina"	125101	2072	0	11	4	94	0.06	3	2228	0.07		
"Oceania Nes"	123737	123426	0	117	142							
"South Sudan"	122616	-173664	0	27	-21	194	0	12		0.25		
"French Polynesia"	120232	116290	0	17	20	165	0	1	13300	0.24		
"Equatorial Guinea"	114968	-963197	0	-9	-6	182	0	2	6008	0.11		
"Palestine, State of"	114661	114323	0	14	14	176	0	8	3026	0.1		
"Burundi"	111634	103879	0	29	47	188	0	13	4755	0.14		
"Antigua and Barbuda"	107456	105061	0	25	18	174	0	1	6334	0.27		
"Bhutan"	100220	100208	0	76	635	178	0	15	1733	0.63		
"Samoa"	92346	91761	0	10	6	197	0	-1	6816	0.13		
"Montenegro"	89175	78530	0	-12	-21	152	0.01	0	2382	0.08		
"Guinea-Bissau"	86057	86056	0	27	67	195	0	2	5802	0.16		
"Vanuatu"	80640	70057	0	5	11	198	0	-2	6248	0.13		
"Lesotho"	78841	55612	0	4	33	164	0	-2	1590	0.78		
"Bermuda"	78386	78366	0	-23	121	169	0	-3	8006	0.28		
"Cabo Verde"	77324	76193	0	2	-1	181	0	4	5196	0.21		
"Eritrea"	65651	-287467	0	14	-7	203	0	-8	6303	0.14		
"Aruba"	65589	65583	0	23	83	175	0	-3	4917	0.3		
"Seychelles"	60452	60442	0	4	5	187	0	-7	6627	0.06		
"Comoros"	52072	51972	0	-10	3	192	0	18	5731	0.22		
"Tonga"	50969	50928	0	16	51	202	0	4	5771	0.16		
"Curaçao"	49638	49625	0	-11	-1	163	0	-12		0.24		
"Eswatini"	45677	44481	0	7	15	160	0	1	1597	0.74		
"Tuvalu"	45282	45244	0	23	181	204	0	17	6386	0.21		
"Central African Republic"	41990	8779	0	31	50	199	0	7	6606	0.08		
"Kiribati"	36650	36645	0	21	50	205	0	10	5936	0.13		
"Cayman Islands"	34569	34463	0	-40	-6	123	0.03	5	7522	0.35		
"Palau"	33947	33869	0	21	40	209	0	1	6232	0.16		
"Dominica"	32412	31005	0	-12	54	185	0	8	4908	0.65		
"Saint Vincent and the Grenadines"	30733	30731	0	-17	204	196	0	3	6798	0.14		
"Saint Lucia"	22922	22806	0	10	-2	171	0	-10	5321	0.23		
"Grenada"	19686	19662	0	15	28	191	0	-1	4157	0.2		
"Micronesia, Federated States of"	19021	1782	0	-5	-9	208	0	-8	7109	0.19		
"British Virgin Islands"	18366	18245	0	-5	106	156	0.01	8	7242	0.27		
"America not elsewhere specified"	14613	14244	0	71	51							
"Sao Tome and Principe"	14413	14280	0	29	-29	210	0	-3	6155	0.31		
"Saint Kitts and Nevis"	11766	11132	0	8	-13	201	0	-12	5440	0.41		
"Nauru"	10550	10445	0	93	444	211	0	18	6014	0.27		
"French Southern and Antarctic Territories"	5186	5183	0			214	0	14		0.12		
"Turks and Caicos Islands"	4046	4022	0	10	22	193	0	-3	3491	0.74		
"Cook Islands"	3674	1753	0	-12	-33	206	0	-4	9417	0.22		
"Andorra"	3605	2912	0	32	6	166	0	2	610	0.52		
"Africa not elsewhere specified"	3125	2779	0	34	32							
"Wallis and Futuna Islands"	2288	2273	0	67	160	218	0	7	10103	0.24		
"Faroe Islands"	1615	-81482	0			172	0	7	1404	0.27		
"Norfolk Island"	922	922	0	-18	-53	222	0	1	5454	0.24		
"Europe Othr. Nes"	901	793	0	577	-36							
"Western Sahara"	882	882	0	23	-39	221	0	-16	12469	0.9		
"Greenland"	510	-192026	0	-33	-68	180	0	6	3482	0.44		
"Asia not elsewhere specified"	400	380	0									
"Montserrat"	173	157	0	-3	-57	224	0	-7		0.49		
"Saint Pierre and Miquelon"	96	96	0	64	-75	215	0	10	3489	0.45		
"China"	41	-141364688	0		-98	2	11.1	5	6416	0.04		
"Area Nes"	29	-1886148	0	-87	-99							
"Bonaire, Sint Eustatius and Saba"	25	25	0	-72	511	189	0	20		0.19		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Gibraltar"						114	0.03	-5	2572	0.09		
"United States Minor Outlying Islands"						177	0	0		0.21		
"Free Zones"						186	0	-34		0.92		
"Falkland Islands (Malvinas)"						207	0	2	12325	0.46		
"Anguilla"						212	0	-5	4397	0.58		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"Northern Mariana Islands"						216	0	-19	3811	0.2		
"Saint Helena"						217	0	6	7699	0.31		
"British Indian Ocean Territory"						219	0	-9		0.67		
"Christmas Island"						220	0	3		0.69		
"Niue"						223	0	7	11410	0.48		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"Tokelau"						226	0	-33	11566	0.22		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
