Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Russian Federation's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Russian Federation (%)	
"Uganda"	407745	383833	0.1	68	52	132	0.02	11	5788	0.09		
"Bahamas"	394207	394205	0.1	181	144	115	0.03	-8	6248	0.19		
"Argentina"	370011	-642299	0.1	-3	292	50	0.3	-5	10631	0.1		
"Peru"	368262	123666	0.1	2	83	54	0.2	3	10420	0.13		
"Pakistan"	343429	-10086	0.1	7	-31	47	0.3	2	4850	0.11		
"South Africa"	342222	-454655	0.1	11	19	41	0.4	-1	9230	0.07		
"Slovenia"	339039	-647071	0.1	6	-23	55	0.2	10	2404	0.07		
"Colombia"	336602	134203	0.1	-14	238	51	0.3	4	8915	0.13		
"Tunisia"	333025	187102	0.1	-8	-11	78	0.10	-1	3411	0.06		
"Libya, State of"	331969	331968	0.1	12	174	89	0.07	12	3475	0.08		
"Cameroon"	309652	305273	0.1	40	152	116	0.03	8	7279	0.14		
"Sudan"	306298	306026	0.1	-10	-18	122	0.03	-2		0.13		
"Togo"	287603	286643	0.1	44	2	153	0.01	10	7318	0.08		
"Saint Lucia"	285020	284786	0.1	14		171	0	-10	5321	0.23		
"Myanmar"	284333	137029	0.1	9	26	79	0.10	-1	2536	0.25		
"Iraq"	282681	282632	0.1	-39	122	62	0.2	3	4107	0.18		
"Jordan"	247927	179994	0.1	2	14	84	0.08	0	5167	0.07		
"Australia"	236370	-502362	0	13	92	24	1.1	1	10262	0.1		
"Yemen"	234383	234226	0	-7	-2	107	0.04	11	5706	0.11		
"Cyprus"	230658	188507	0	-15	-12	105	0.05	-1	3118	0.09		
"Kenya"	221112	80385	0	3	-6	80	0.09	2	6680	0.08		
"Gibraltar"	196158	196137	0	-7	-67	114	0.03	-5	2572	0.09		
"Ethiopia"	194694	164151	0	12	633	90	0.07	1	6305	0.11		
"Guatemala"	182921	143232	0	29	173	68	0.1	7	5828	0.15		
"Oman"	168176	165150	0	12	-20	83	0.08	-6	5977	0.08		
"Ghana"	166391	85831	0	5	39	82	0.08	8	8888	0.18		
"Rwanda"	162167	156873	0	44	764	159	0.01	17	5437	0.08		
"Tanzania, United Republic of"	158410	122239	0	1	-11	102	0.05	7	6633	0.1		
"Venezuela, Bolivarian Republic of"	146601	144811	0	19	48	117	0.03	-11	8121	0.16		
"Nicaragua"	145357	129241	0	37	232	104	0.05	4	5888	0.1		
"Honduras"	143102	122595	0	50	153	99	0.05	4	6104	0.16		
"Albania"	132543	115679	0	13	2	121	0.03	6	1886	0.13		
"Cuba"	130800	116029	0	-22	-2	145	0.02	-13	7148	0.09		
"Côte d'Ivoire"	129387	-128068	0	21	110	93	0.06	9	6793	0.08		
"Qatar"	124183	72726	0	25	94	70	0.1	0	5745	0.06		
"Congo"	122440	120239	0	53	31	154	0.01	-18	6851	0.07		
"Congo, Democratic Republic of the"	118088	117754	0	54	104	111	0.04	13	6479	0.14		
"Bosnia and Herzegovina"	108381	21073	0	0	177	94	0.06	3	2228	0.07		
"Chile"	99891	-675680	0	-3	73	43	0.4	6	11582	0.13		
"Dominican Republic"	93708	54142	0	13	116	67	0.1	5	6446	0.22		
"Sri Lanka"	89560	-193868	0	10	-63	85	0.08	-3	4351	0.16		
"Mali"	88657	88003	0	5	22	141	0.02	9	5008	0.1		
"Angola"	87654	85655	0	-1	10	100	0.05	-11	7692	0.06		
