Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Malta's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Malta (%)	
"Jordan"	2931	2421	0.1	7	-40	84	0.08	0	5167	0.07		
"South Sudan"	2835	2835	0.1	20	23	194	0	12		0.25		
"Algeria"	2623	-6608	0.1	13	20	64	0.2	-8	4584	0.07		
"Latvia"	2506	-2818	0.1	24	366	77	0.1	7	1575	0.08		
"Niger"	2469	2469	0.1	23	118	162	0	13	5715	0.09		
"Burundi"	2445	2445	0.1	320	664	188	0	13	4755	0.14		
"Gibraltar"	2323	2295	0.1	36	2986	114	0.03	-5	2572	0.09		
"Gambia"	2311	2310	0.1	24	188	167	0	7	8260	0.14		
"Mali"	2119	2106	0.1	-2	16	141	0.02	9	5008	0.1		
"Peru"	2085	1641	0.1	90	10075	54	0.2	3	10420	0.13		
"Jamaica"	1915	1913	0.1		-54	137	0.02	-2	6759	0.22		
"Ecuador"	1874	-5064	0.1			69	0.1	3	9174	0.12		
"Togo"	1808	1808	0.1	76	45	153	0.01	10	7318	0.08		
"Mozambique"	1806	1708	0.1	-21		108	0.04	8	6196	0.1		
"Kenya"	1641	1162	0.1	3	-55	80	0.09	2	6680	0.08		
"Iceland"	1627	1589	0.1	12	698	112	0.04	-1	4251	0.05		
"Kuwait"	1621	1606	0.1	-24	34	76	0.1	-3	5837	0.07		
"Pakistan"	1602	-2455	0.1	45	-9	47	0.3	2	4850	0.11		
"Chad"	1573	1573	0	-6	51	184	0	13	6931	0.16		
"New Zealand"	1568	-1489	0	17	25	56	0.2	3	11141	0.09		
"Morocco"	1534	-19839	0	-13	-43	52	0.3	4	4316	0.07		
"Viet Nam"	1493	-3762	0	-17	-41	19	1.5	8	3535	0.19		
"Estonia"	1487	-1389	0	264	-68	73	0.1	6	2314	0.06		
"Trinidad and Tobago"	1191	-108894	0	109	53	128	0.03	-1	6663	0.26		
"Congo"	1173	1173	0	442	53	154	0.01	-18	6851	0.07		
"Bahrain"	1173	1093	0	-4	-30	101	0.05	1	6359	0.08		
"Lebanon"	1145	378	0	32	-2	97	0.06	-12	3592	0.06		
"Rwanda"	1083	1083	0	12	-74	159	0.01	17	5437	0.08		
"Cabo Verde"	1022	1022	0	16	-21	181	0	4	5196	0.21		
"Georgia"	1019	1008	0	51	292	113	0.04	-2	2513	0.09		
"Sri Lanka"	910	-84	0	6	345	85	0.08	-3	4351	0.16		
"Dominican Republic"	821	522	0	-30	1	67	0.1	5	6446	0.22		
"Mauritius"	813	-1221	0	-55	86	133	0.02	-2	7320	0.08		
"Iran, Islamic Republic of"	716	493	0	-9	919	72	0.1	-18	5612	0.13		
"Luxembourg"	560	-29943	0	40	16	71	0.1	3	1488	0.14		
"Madagascar"	501	489	0	-12	2	138	0.02	2	7339	0.08		
"Sao Tome and Principe"	487	487	0	14	1108	210	0	-3	6155	0.31		
"Côte d'Ivoire"	467	251	0	8	83	93	0.06	9	6793	0.08		
"Colombia"	394	198	0	-5	-8	51	0.3	4	8915	0.13		
"Central African Republic"	356	356	0		118	199	0	7	6606	0.08		
"Barbados"	254	253	0	10	6	161	0	0	4992	0.21		
"Brunei Darussalam"	246	246	0		722	109	0.04	26	5185	0.11		
"Maldives"	227	227	0	-2	-59	151	0.01	-3	4478	0.08		
"Equatorial Guinea"	227	227	0	191	4934	182	0	2	6008	0.11		
"Mauritania"	220	174	0	87	-19	146	0.02	1	5817	0.07		
"Montenegro"	189	-927	0	13	459	152	0.01	0	2382	0.08		
"Costa Rica"	174	-846	0	18	125	86	0.08	3	6987	0.22		
"Guyana"	173	173	0	-6	-64	144	0.02	13	11175	0.21		
"Indonesia"	167	-4444	0	-47	8	30	0.9	2	5872	0.11		
"Zambia"	150	150	0	669		119	0.03	-9	5447	0.14		
"Cayman Islands"	150	-19648	0	-34	8896	123	0.03	5	7522	0.35		
"Bosnia and Herzegovina"	146	-63	0	15	-84	94	0.06	3	2228	0.07		
"Botswana"	141	19	0	-18	-28	124	0.03	2	2968	0.52		
"Belize"	100	100	0	-16	-61	179	0	1	5006	0.18		
"Burkina Faso"	100	98	0	-30	-53	136	0.02	5	6109	0.05		
"Seychelles"	92	-30	0	-17	-47	187	0	-7	6627	0.06		
"Macedonia, North"	92	-777	0	-6	49	103	0.05	8	1348	0.09		
"Benin"	87	87	0	117		149	0.01	-2	6481	0.07		
"Palestine, State of"	78	-103	0	19	-72	176	0	8	3026	0.1		
"Tanzania, United Republic of"	72	66	0	-56	-6	102	0.05	7	6633	0.1		
"Panama"	68	61	0	-24	235	60	0.2	1	8657	0.12		
"Kazakhstan"	61	-23	0	22	-52	58	0.2	6	3017	0.25		
"Guatemala"	58	38	0	11	-79	68	0.1	7	5828	0.15		
"Albania"	56	-8974	0	-28	18	121	0.03	6	1886	0.13		
"Macao, China"	53	49	0	173	-84	81	0.09	15		0.17		
"Gabon"	47	46	0	-23	-35	158	0.01	-2	7114	0.11		
"Uganda"	45	44	0	-32	-98	132	0.02	11	5788	0.09		
"Nepal"	38	9	0	-38	-73	96	0.06	8	1856	0.56		
"Myanmar"	26	-118	0	-58		79	0.10	-1	2536	0.25		
"Lesotho"	24	24	0	-63	-97	164	0	-2	1590	0.78		
"Afghanistan"	13	10	0	-63		147	0.02	-8	2990	0.12		
"Bahamas"	11	11	0	-46	-70	115	0.03	-8	6248	0.19		
"Palau"	11	11	0			209	0	1	6232	0.16		
"Nicaragua"	8	-10	0	496		104	0.05	4	5888	0.1		
"Argentina"	5	-2338	0	-52	-66	50	0.3	-5	10631	0.1		
"Armenia"	4	-68	0	-43		131	0.02	6	3323	0.15		
"Uruguay"	4	-291	0		196	95	0.06	0	9836	0.11		
"Cambodia"	4	-2094	0	-21		66	0.1	16	2651	0.18		
"Namibia"	3	3	0	-42	-99	126	0.03	-1	3757	0.37		
"Haiti"	3	3	0	-33		140	0.02	0	6340	0.18		
"New Caledonia"	3	3	0		41	155	0.01	-1	11471	0.2		
"Belarus"	3	-45	0			61	0.2	2	2268	0.23		
"French Polynesia"	3	-486	0	-36	-63	165	0	1	13300	0.24		
"Moldova, Republic of"	2	-94	0	136	-97	118	0.03	8	2317	0.08		
"Paraguay"	1	-37	0	-14		92	0.06	0	7311	0.15		
"El Salvador"		-1				88	0.07	9	4914	0.15		
"Zimbabwe"		-1				134	0.02	7	3754	0.39		
"Vanuatu"		-1				198	0	-2	6248	0.13		
"Falkland Islands (Malvinas)"		-1				207	0	2	12325	0.46		
"Uzbekistan"		-2				74	0.1	16	3412	0.12		
"Ethiopia"		-2				90	0.07	1	6305	0.11		
"Venezuela, Bolivarian Republic of"		-2				117	0.03	-11	8121	0.16		
"Lao People's Democratic Republic"		-2				129	0.02	-1	2572	0.28		
