Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Serbia's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Serbia (%)	
"Qatar"	8711	4221	0	-5	36	70	0.1	0	5745	0.06		
"Nigeria"	8086	6341	0	0	40	53	0.2	17	7792	0.1		
"Malaysia"	7648	-77479	0	14	102	25	1.1	3	5172	0.09		
"Kazakhstan"	7295	-228531	0	-26	-36	58	0.2	6	3017	0.25		
"Chile"	6258	-442	0	4	-35	43	0.4	6	11582	0.13		
"Turkmenistan"	6194	-2784	0		7055	148	0.02	4	3495	0.15		
"Malta"	6020	-7216	0	46	41	120	0.03	1	3249	0.08		
"Kuwait"	5989	5656	0	-6	101	76	0.1	-3	5837	0.07		
"Viet Nam"	5637	-226472	0	-31	3	19	1.5	8	3535	0.19		
"Mali"	5319	5168	0	47	391	141	0.02	9	5008	0.1		
"Morocco"	5273	-27136	0	-18	-17	52	0.3	4	4316	0.07		
"Luxembourg"	5258	-14150	0	-6	-47	71	0.1	3	1488	0.14		
"Jordan"	5056	3108	0	-26	54	84	0.08	0	5167	0.07		
"Singapore"	4552	-23399	0	-18	-11	16	1.9	3	5773	0.07		
"Mauritania"	4083	4068	0	-19	44	146	0.02	1	5817	0.07		
"New Zealand"	4000	1638	0	57	26	56	0.2	3	11141	0.09		
"Cameroon"	3762	3412	0	2	-68	116	0.03	8	7279	0.14		
"Uzbekistan"	3707	2552	0	9	81	74	0.1	16	3412	0.12		
"Philippines"	3552	-26392	0	49	-10	34	0.6	2	4354	0.09		
"Yemen"	3357	3351	0	80	103	107	0.04	11	5706	0.11		
"Iceland"	2983	2264	0	14	17	112	0.04	-1	4251	0.05		
"Iran, Islamic Republic of"	2961	-44850	0	-22	-57	72	0.1	-18	5612	0.13		
"Gabon"	2857	2781	0	0	-5	158	0.01	-2	7114	0.11		
"Bahrain"	2253	-59626	0	36	66	101	0.05	1	6359	0.08		
"Afghanistan"	2168	2151	0	-55	-35	147	0.02	-8	2990	0.12		
"Ghana"	2118	-4187	0	-1	92	82	0.08	8	8888	0.18		
"Thailand"	2103	-84763	0	-4	-40	23	1.2	2	4905	0.09		
"Somalia"	1988	1983	0	34	35	150	0.01	9	5305	0.16		
"Bangladesh"	1797	-105206	0	-44	1108	49	0.3	6	4172	0.15		
"Peru"	1582	-7874	0	-6	-65	54	0.2	3	10420	0.13		
"Costa Rica"	1571	-15584	0	1	53	86	0.08	3	6987	0.22		
"Equatorial Guinea"	1510	1510	0	-17	53	182	0	2	6008	0.11		
"Angola"	1485	1485	0	-14	83	100	0.05	-11	7692	0.06		
"Kyrgyzstan"	1480	-5060	0	-36	-76	127	0.03	1	2892	0.2		
"Côte d'Ivoire"	1476	-32243	0	42	117	93	0.06	9	6793	0.08		
"Oman"	1467	-3816	0	-31	116	83	0.08	-6	5977	0.08		
"Pakistan"	1445	-19796	0	-4	18	47	0.3	2	4850	0.11		
"Tajikistan"	1335	-14915	0	-34	-39	142	0.02	9	2803	0.17		
"Mongolia"	1316	1314	0	27	211	125	0.03	8	3267	0.22		
"Mauritius"	1287	885	0	-3	28	133	0.02	-2	7320	0.08		
"Djibouti"	1239	1239	0		16	130	0.02	5	6387	0.22		
"Cambodia"	1098	-12826	0	99	472	66	0.1	16	2651	0.18		
"Ecuador"	1032	-42561	0	-5	23	69	0.1	3	9174	0.12		
"Seychelles"	960	946	0	185	265	187	0	-7	6627	0.06		
"Guatemala"	936	-309	0	-2	35	68	0.1	7	5828	0.15		
"Palestine, State of"	918	918	0	-15	-34	176	0	8	3026	0.1		
"Trinidad and Tobago"	875	854	0	157	150	128	0.03	-1	6663	0.26		
"Panama"	875	-24	0	10	24	60	0.2	1	8657	0.12		
"Uruguay"	776	-378	0	-7	-5	95	0.06	0	9836	0.11		
"Saint Kitts and Nevis"	724	722	0		59022	201	0	-12	5440	0.41		
"Colombia"	674	-15990	0	-27	36	51	0.3	4	8915	0.13		
"Sri Lanka"	669	-8710	0	24	63	85	0.08	-3	4351	0.16		
"El Salvador"	641	-65	0		1559	88	0.07	9	4914	0.15		
"Congo"	573	551	0	-11	-63	154	0.01	-18	6851	0.07		
"Paraguay"	569	-159	0	38	18	92	0.06	0	7311	0.15		
"Syrian Arab Republic"	548	-15384	0	150	20	139	0.02	-3	2496	0.27		
"Armenia"	519	111	0	-13	-88	131	0.02	6	3323	0.15		
"Bolivia, Plurinational State of"	505	-557	0	141	52	106	0.04	-3	7978	0.11		
"Suriname"	428	347	0	17	-48	173	0	1	9050	0.14		
