Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Netherlands's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Netherlands (%)	
"Libya, State of"	532885	-1218136	0.1	25	-8	89	0.07	12	3475	0.08		
"Iran, Islamic Republic of"	512442	494059	0.1	-22	29	72	0.1	-18	5612	0.13		
"Kazakhstan"	470581	-23226	0.1	7	-26	58	0.2	6	3017	0.25		
"Angola"	468058	168019	0.1	23	170	100	0.05	-11	7692	0.06		
"Jordan"	433717	361981	0.1	-5	5	84	0.08	0	5167	0.07		
"Bangladesh"	415813	-1280016	0.1	1	57	49	0.3	6	4172	0.15		
"Tunisia"	353793	44512	0.1	-1	23	78	0.10	-1	3411	0.06		
"Côte d'Ivoire"	350160	-1075620	0.1	1	-8	93	0.06	9	6793	0.08		
"Peru"	340432	-1564716	0	-4	18	54	0.2	3	10420	0.13		
"Oman"	295047	173942	0	-17	-26	83	0.08	-6	5977	0.08		
"Lebanon"	274857	208242	0	-8	-36	97	0.06	-12	3592	0.06		
"Belarus"	269358	-53679	0	-1	-5	61	0.2	2	2268	0.23		
"Marshall Islands"	265049	221948	0	25	10	91	0.06	-1	7455	0.18		
"Curaçao"	252463	208982	0	-3	2	163	0	-12		0.24		
"Suriname"	249956	217680	0	5	17	173	0	1	9050	0.14		
"Dominican Republic"	244956	-103987	0	10	14	67	0.1	5	6446	0.22		
"Cameroon"	230350	-539055	0	11	32	116	0.03	8	7279	0.14		
"Bosnia and Herzegovina"	224745	78848	0	3	10	94	0.06	3	2228	0.07		
"Bahrain"	214455	80746	0	2	9	101	0.05	1	6359	0.08		
"Panama"	206749	23283	0	1	31	60	0.2	1	8657	0.12		
"Ecuador"	195321	-432853	0	-26	8	69	0.1	3	9174	0.12		
"Paraguay"	167807	116985	0	27	23	92	0.06	0	7311	0.15		
