Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Mexico's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Mexico (%)	
"Philippines"	66504	-3176063	0	-21	2	34	0.6	2	4354	0.09		
"Sweden"	54496	-1000688	0	-13	-32	31	0.9	3	2128	0.07		
"Guyana"	53140	50563	0	43	-39	144	0.02	13	11175	0.21		
"Norway"	49323	-180693	0	8	-31	39	0.5	3	3470	0.06		
"Qatar"	46803	-48152	0	22	-38	70	0.1	0	5745	0.06		
"Slovakia"	46271	-399920	0	-1	2	38	0.5	4	2664	0.07		
"Greece"	45491	-116583	0	2	25	45	0.3	4	2847	0.05		
"Nigeria"	45359	42976	0	12	1	53	0.2	17	7792	0.1		
"Pakistan"	44094	-161414	0	11	-60	47	0.3	2	4850	0.11		
"Egypt"	38081	-9271	0	-7	-52	46	0.3	-1	5219	0.05		
"Portugal"	33696	-552368	0	-34	-28	40	0.4	2	2788	0.14		
"Haiti"	25506	-22279	0	-19	-49	140	0.02	0	6340	0.18		
"Morocco"	22130	-317979	0	-25	15	52	0.3	4	4316	0.07		
"Latvia"	19147	4400	0	0	-11	77	0.1	7	1575	0.08		
"Bulgaria"	15891	-128808	0	-4	-76	57	0.2	6	2237	0.05		
"Ukraine"	14980	-202240	0	-9	-36	48	0.3	7	3255	0.06		
"Oman"	13086	-76987	0	-3	-58	83	0.08	-6	5977	0.08		
"Aruba"	12500	9182	0	-12	70	175	0	-3	4917	0.3		
"Slovenia"	12205	-136561	0	-13	-69	55	0.2	10	2404	0.07		
"Bahrain"	11738	-122435	0	-4	3	101	0.05	1	6359	0.08		
"Georgia"	10016	6887	0	52	-50	113	0.04	-2	2513	0.09		
"Bahamas"	9666	9662	0	-14	-27	115	0.03	-8	6248	0.19		
"Barbados"	9070	8835	0	-9	-21	161	0	0	4992	0.21		
"Iraq"	8767	8766	0	-16	-82	62	0.2	3	4107	0.18		
"Bangladesh"	7460	-423702	0	-1	-24	49	0.3	6	4172	0.15		
"Jordan"	5994	-25555	0	-26	-17	84	0.08	0	5167	0.07		
"Cambodia"	5947	-194358	0	9	34	66	0.1	16	2651	0.18		
