Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Turkey's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Turkey (%)	
"Ghana"	461851	342568	0.2	22	-3	82	0.08	8	8888	0.18		
"Moldova, Republic of"	453142	72818	0.2	12	35	118	0.03	8	2317	0.08		
"Malaysia"	445166	-2652889	0.2	10	17	25	1.1	3	5172	0.09		
"Côte d'Ivoire"	430907	35229	0.2	32	40	93	0.06	9	6793	0.08		
"Colombia"	420672	-1270801	0.2	17	94	51	0.3	4	8915	0.13		
"Mauritania"	409436	132697	0.2	35	242	146	0.02	1	5817	0.07		
"Lithuania"	364562	-263079	0.2	5	19	59	0.2	7	1630	0.07		
"Somalia"	354859	346941	0.2	25	30	150	0.01	9	5305	0.16		
"Ethiopia"	354348	329930	0.2	-2	53	90	0.07	1	6305	0.11		
"Viet Nam"	336664	-1236395	0.1	5	38	19	1.5	8	3535	0.19		
"Kenya"	329594	310244	0.1	18	45	80	0.09	2	6680	0.08		
"Indonesia"	313043	-1534342	0.1	3	46	30	0.9	2	5872	0.11		
"Djibouti"	307025	306153	0.1	31	-4	130	0.02	5	6387	0.22		
"Panama"	304869	286521	0.1	6	78	60	0.2	1	8657	0.12		
"Venezuela, Bolivarian Republic of"	299697	-251538	0.1	62	27	117	0.03	-11	8121	0.16		
"Sudan"	289624	184661	0.1	-6	-24	122	0.03	-2		0.13		
"Liberia"	269034	264984	0.1	21	51	87	0.07	17	11608	0.19		
"Saudi Arabia"	265400	-3191015	0.1	-38	-89	32	0.7	3	5816	0.07		
"Afghanistan"	258637	225177	0.1	12	24	147	0.02	-8	2990	0.12		
"Tajikistan"	258441	62710	0.1	10	49	142	0.02	9	2803	0.17		
"Tanzania, United Republic of"	253975	214280	0.1	16	27	102	0.05	7	6633	0.1		
"Taipei, Chinese"	253583	-1583580	0.1	3	7	17	1.7	8	5007	0.1		
"Argentina"	237767	-307892	0.1	7	55	50	0.3	-5	10631	0.1		
"Thailand"	236224	-1408489	0.1	3	28	23	1.2	2	4905	0.09		
"Dominican Republic"	233332	210029	0.1	31	87	67	0.1	5	6446	0.22		
"Guinea"	223749	211246	0.1	21	65	135	0.02	7	9140	0.19		
"Angola"	203305	192698	0.1	-1	11	100	0.05	-11	7692	0.06		
"Cameroon"	185653	128339	0.1	14	17	116	0.03	8	7279	0.14		
"Bahrain"	173167	-187346	0.1	-9	-14	101	0.05	1	6359	0.08		
"Jamaica"	168024	167858	0.1	27	120	137	0.02	-2	6759	0.22		
"Latvia"	160980	-69877	0.1	3	54	77	0.1	7	1575	0.08		
